code,name,lot_number
MCF3.6.7,Outsourcing and insourcing,MCF3.6
MCF3.6.8,P2P,MCF3.6
MCF3.6.9,Procurement process,MCF3.6
MCF3.6.10,Sourcing,MCF3.6
MCF3.6.11,Supplier management,MCF3.6
MCF3.6.12,Supply chain and logistics,MCF3.6
MCF3.6.13,Tender development and analysis,MCF3.6
MCF3.7.1,Alternative delivery models,MCF3.7
MCF3.7.2,Business case development,MCF3.7
MCF3.7.3,Charity/third sector improvement review,MCF3.7
MCF3.7.4,Capability development,MCF3.7
MCF3.7.5,Clinical evaluations,MCF3.7
MCF3.7.6,Commissioning models,MCF3.7
MCF3.7.7,Community services,MCF3.7
MCF3.7.8,"Digital, technology and cyber",MCF3.7
MCF3.7.9,Healthcare services,MCF3.7
MCF3.7.10,"Healthcare operational review, improvement and/or modelling",MCF3.7
MCF3.7.11,"Healthcare transformation, change and delivery",MCF3.7
MCF3.7.12,Housing,MCF3.7
MCF3.7.13,Mental healthcare,MCF3.7
MCF3.7.14,"Planning for health, social care and community ",MCF3.7
MCF3.7.15,Policing and security,MCF3.7
MCF3.7.16,Programme and project management,MCF3.7
MCF3.7.17,Public service improvement review,MCF3.7
MCF3.7.18,Regeneration,MCF3.7
MCF3.7.19,Safeguarding,MCF3.7
MCF3.7.20,Social care services,MCF3.7
MCF3.7.21,Strategy and policy,MCF3.7
MCF3.8.1,Aviation,MCF3.8
MCF3.8.2,Communications and technology infrastructure,MCF3.8
MCF3.8.3,Highways,MCF3.8
MCF3.8.4,Public transport (including buses and parking),MCF3.8
MCF3.8.5,Rail,MCF3.8
MCF3.8.6,Ports and shipping,MCF3.8
MCF3.8.7,Smart infrastructure,MCF3.8
MCF3.8.8,Towns and cities,MCF3.8
MCF3.9.1,Air quality,MCF3.9
MCF3.9.2,Carbon management (including reporting),MCF3.9
MCF3.9.3,Climate change adaptation and/or mitigation,MCF3.9
MCF3.9.4,Coastal,MCF3.9
MCF3.9.5,Contaminated land,MCF3.9
MCF3.9.6,Due diligence,MCF3.9
MCF3.9.7,Ecology and biodiversity,MCF3.9
MCF3.9.8,Environmental planning and protection,MCF3.9
MCF3.9.9,Equality analysis,MCF3.9
MCF3.9.10,Feasibility studies and/or impact assessment,MCF3.9
MCF3.9.11,Monitoring environmental indicators,MCF3.9
MCF3.9.12,Natural capital,MCF3.9
MCF3.9.13,Natural resource management,MCF3.9
MCF3.9.14,Policy development and/or implementation,MCF3.9
MCF3.9.15,Pollution control (including noise),MCF3.9
MCF3.9.16,Regulatory compliance,MCF3.9
MCF3.9.17,Risk management,MCF3.9
MCF3.9.18,Social value,MCF3.9
MCF3.9.19,Sustainability,MCF3.9
