framework_id,framework_lot_number,number,name
RM6240,2,7,Planning and Environment
RM6240,2,8,Licensing
RM6240,2,9,Pensions
RM6240,2,10,Litigation / Dispute Resolution
RM6240,2,11,Intellectual Property
RM6240,2,12,Employment
RM6240,2,13,Healthcare
RM6240,2,14,Primary Care
RM6240,2,15,Mental Health Law
RM6240,3,1,Transport (Rail)
